Description,Category (Category) (Category),Intent
"
What idea are you suggesting? 


The Viva Topics Lightweight Management documentation is not sufficient 


<a href=""https://learn.microsoft.com/en-us/viva/topics/topics-lightweight-management"">Viva Topics lightweight management in Viva Engage | Microsoft Learn 


  
	It does not specify HOW to access the Lightweight Topics Management portal (if you do not have Viva Topics licenses this is not directly linkable from anywhere)
	 
	It does not specify what permissions are needed in order to access theLightweight Topics Management portal
	 
	The wording is not clear on what can be managed, and how you would get there
	 
	 
	
 


Some additional information is avaliable on this blog post -<a href=""https://techcommunity.microsoft.com/t5/viva-topics-blog/july-2023-introducing-viva-topics-lightweight-management-in-viva/ba-p/3865972"">July 2023 – Introducing Viva Topics lightweight management in Viva Engage - Microsoft Community Hub 
 
But this should move in to official documentatino or in product links. 


The customer experience is poor 


How would you implement this? 


  
	Update the documentation to detail the permissions required for Viva TopicsLightweight Management
	  
		Viva Engage Admin
		 
		Sharepoint Admin (We believe via testing this is required? as Viva Engage Admin is not enough - would need PG verification)
		 
		 
		
	 
	
	 
	Provide a link within the tenant to the Lightweight Topics Management portal (and update the document to reflect how to access this at<a href=""https://tenants-domain.sharepoint.com/_layouts/15/TopicsManagement.aspx%20"" target=""_blank"">https://tenants-domain.sharepoint.com/_layouts/15/TopicsManagement.aspx
	 
	 
	
 


What measurable impact would this idea have? (hours per week or month) 


Customers would be able to manage Topics created via Viva Engage easily 

 

CDO reviewed 
",Documentation,CDO - Prepare
"
Provide access to the MAP tool (<a href=""https://microsoft.sharepoint.com/teams/FastTrackMigrations/engineering/SitePages/Release-Notes--Migration-Assessment-and-Planning-(MAP)-Tool---August-10,-2023.aspx?xsdata=MDV8MDF8Sm9lLldlbGxzQG1pY3Jvc29mdC5jb218OGJmMTEyMjNmM2QwNGE4MDRkZWYwOGRiYTI0YzViOTd8NzJmOTg4YmY4NmYxNDFhZjkxYWIyZDdjZDAxMWRiNDd8MXwwfDYzODI4MjIyMTA2ODA4MjU2M3xVbmtub3dufFRXRnBiR1pzYjNkOGV5SldJam9pTUM0d0xqQXdNREFpTENKUUlqb2lWMmx1TXpJaUxDSkJUaUk2SWsxaGFXd2lMQ0pYVkNJNk1uMD18MzAwMHx8fA%3d%3d&amp;sdata=NTF0Vkt6SmR5Q3lkOXB5NW5tUWwxTGx0citMQjN0VnV4RWY0UUhFY0l0QT0%3d&amp;clickparams=eyAiWC1BcHBOYW1lIiA6ICJNaWNyb3NvZnQgT3V0bG9vayIsICJYLUFwcFZlcnNpb24iIDogIjE2LjAuMTY3MzEuMjAwOTQiLCAiT1MiIDogIldpbmRvd3MiIH0="">Release Notes: Migration Assessment and Planning (MAP) Tool - August 10, 2023 (sharepoint.com)) to allow migration planning and remediation actvities to take place well ahead of actual migration activities. 


We have a large UK government customer migrating from GSuite to M365 in FY24, allowing the team to run and assess the tool outputs would help with remediation activities well ahead of actual migrations. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What idea are you suggesting? Currently the Migration Manager does a 10 move batch and doesn't process any new moves till it has moved all 10 in the currrent batch. We would like Migration Manager to manage a queue and keep 10 migrations moving all the time instead of batching. So that we are moving data as fast as possible instead of being stuck on one migration finishing before ramping back up to a 10 thread volume. 


How would you implement this? When one move finishes pickup another move scheduled to move until you have moved all of the files shares. 


What measurable impact would this idea have? (hours per week or month) One customer has seen a 28hr waste of 9 threads so far so the hours saved is huge by keeping the pipe full. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What idea are you suggesting? Customer rejected to execute the migration using FTC since MigHub is not having any API that they can use to load the list of users to be migrated (This customer has a special project management fraimwork and will need APIs for MigHub 


How would you implement this? - Develop new API for MigHub 


What measurable impact would this idea have? (hours per week or month) Reduce customer effort with 40-50% (time to load and schedule large number of events) 

 

CDO reviewed 
",Migration,CDO - Prepare
"
Healthcare Customers have asked for guidance on how to approach the Copilot EAP (Early Access Program) deployment considering that the Semantic Indexing that is part of Copilot is not included in their Business Associates Agreement, which isn't HIPAA compliant. CELA has responded to KP (and other customers) that typically EAPs should not be used with Production data. This has caused KP to halt their project and are waiting to make a decision if they should even proceed with the EAP. We are looking to get further clarification from CELA, although they are hesitant to meet directly with the customer. The response below does not look like the author understood how Copilot works, and its need for production data and that customers have actually paid to use this product. This issue has been raised through the CSU to the PG, but yet to see what is to come from it. 


Here is response sent to customer where I have bolded the most concerning comment --&gt; 


Thanks for following up. Happy to meet with KP legal as needed, however, let’s please first get internal alignment on a response. As a general matter, HIPAA BAA does not cover preview products. It is usually not a concern for customers due to the limited use in preview (typically no live data, including PHI, are shared). Hence, preview terms specify that the product is NOT covered by the BAA. More importantly, it’s not covered because it has not undergone the full compliance review that is required for HIPAA BAA onboarding, and so it’s actually not something we can negotiate around, and our customers can choose whether they participate in early access, and also manage their use with the limited compliance framework. I hope this is helpful to move the conversation forward here. 


CDO reviewed 
",Playbook & Process,CDO - Prepare
"
The ""Email Setup Guide"" in the remote move part asks in ""Review Migration Features"" asks if a user with the needed role has been identified to set up Windows 365.


In the next step it asks if we plan to use the resize feature, this is a Windows 365 feature



CDO reviewed

",Communications,CDO - Prepare
"
In the email setup guide ADG when selecting migrating from Google Workspace we have only a brief documentation without any links on how to achieve it.


We should have:


A link toPerform a Google Workspace migration to Microsoft 365 | Microsoft Learn


Tasks linked to the prerequisites.




Create a subdomain to route mail to Google Workspace




Create a subdomain for mail routing to your Google Workspace domain.




Provision Microsoft 365 mail users




Verify Google migration administrator role assignments.

 



And this for the migrationAutomated batch migration from Google Workspace to Microsoft 365 overview | Microsoft LearnandMigrate mail from Google Workspace to Microsoft 365 (automated method) | Microsoft Learn


We should have a link to Exchange migration manager like we have for hybrid move then.



CDO reviewed

",Communications,CDO - Prepare
"
Add Microsoft Priva to FastTrack scope to support Copilot scenarios specifically around data oversharing, data movement, minimizationm, etc.



CDO reviewed
",Playbook & Process,CDO - Prepare
"
If known, list 'P1' or 'P2' service:


Which feature, specifically, from the product is this tied to?


All migration that FastTrack support within our scope.


What is the problem/idea?


Request for the details of Migration learning to be put in the FastTrack Service Description public website rather than in fasttrack.microsoft.com .


Problem: Several partner feedback that there are too many steps and the barrier of entry is too high to get into the step/documentation of Migration detail and process. User need to get into fasttrack.microsoft.com first 1) setup account, - not include if the tenant creation or testing needed 2) sign in, 3) create account, 4) until they get the part of migration details. Many times, these detail information is already being discussed in presales to assess if the fasttrack process, benefit, and requirement is sufficient or additional effort/budget needed after the purchase.


What are they trying to do/achieve and/or what problem is encountered?


they - customer or partner- either cancel, ignore it, or not moving forward when it's taking too many steps. sometimes they ended up asking too many questions to FastTrack FPM/FE/SME


Why is solving the problem important?


Fasten the decision making on budget, on deployment planning as early as possible. Reduce and prevent the potential escalation or potential blocker to deploy when customer realized they could not pursue with fasttrack process, and need to use additional cost with partner or tools.


What impact is the issue having?


Increase time to value. Prolong the deployment planning discussion. Potential blocking the timeline. Potential restriction, issue, approval that just figured out only when the license is purchased or only when RFA is made on assessment stage, is late.


What use case does this address?





Proposed solution (optional):


Put all the details on migration learning content details in FastTrack Service Description or public website. Enable customer and partner to get these information access as easy and as early as possible.


Additional details (optional): More details on the problem



CDO reviewed

",Migration,CDO - Learn
"
For Healthcare customers, ensuring our services are HIPAA complaint are covered by the Business Associate Agreement (BAA). Unfourtantely, the Semantic Indexing capability utilized by Copilot is not yet covered by the BAA. This is causing Healthcare customers to pause the Copilot projects and determine how to proceed - do they pause entirely, limit who has access to Copilot, thus limiting the value of the EAP. The actual end user applications (like Outlook, Word, etc) are covered by the BAA - but not the Semantic Index back-end capability that allows for Copilot to fully function. The PG does plan to have an audit completed, but it is unknown if this will happen prior to GA. 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
"
Customers who have been nominated and extended invitations to participate in the Copilot Early Access Program (EAP) have expressed valid concerns regarding the potential overexposure of internal data to their employees. One particular concern is the potential exposure after semantic indexing runs, which could inadvertently expose data to all employees. 


Presently, we lack a definitive guide or assessment for a customer to understand their information protection readiness to move forward with Copilot. To address these concerns effectively, customers are seeking a comprehensive understanding of how to ensure and verify their implementation of information protection and governance policies before enabling Copilot for their users. 


One recommendation highlighted in our Copilot guidance and instructional materials is leveraging the AI capabilities offered by Microsoft Syntex for automated document classification. While this may present a viable solution, Syntex would be an added cost and is not currently covered by FastTrack. 


Customer is requesting that we provide better guidance and/or a structured assessment specifically around Information Protection readiness for Copilot. 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
"
Request to please ppdate Gogle Workspace migration workshop task 2006 to include ""Rules""(Gmail filters) as migrated and remove from the non-migrated list in the workshop. 
 
 
 
This way the Migration FT benefit alighs with our public docs:Data Migration - FastTrack – Microsoft 365 | Microsoft Learn



CDO reviewed
",Migration,CDO - Prepare
"
What idea are you suggesting? For Teams Phone, our Teams SMEs provide guidance for migrating from Skype for Business to Teams Phone. One of our customers in the UK had over 600 response groups in Skype for Business and via ECIF, Microsoft funded a partner tool to complete the migration. This completed successfully and the CSU have asked if we have any plans for any tooling in FastTrack. The tool used was Univonix:<a href=""https://www.univonix.com/"">Univonix - Automation tools for PBX migrations 


It does invovle a tool that is not 1st party so it may be a non-starter. 


How would you implement this? 


What measurable impact would this idea have? (hours per week or month):This would allow us to lower Time to Value for Teams phone as users can be migrated much faster. 

 

CDO reviewed 
",Migration,CDO - Configure
"
What idea are you suggesting? Update the FTC Migration process/program (scope/service description/learning center/ migration workshop decks/all tools/ MST guidance/etc) with the changes that were published(<a href=""https://learn.microsoft.com/en-us/sharepointmigration/mm-whats-new"" target=""_blank"">https://learn.microsoft.com/en-us/sharepointmigration/mm-whats-new) 


How would you implement this? Update all tools/processes/collaterals 


What measurable impact would this idea have? (hours per week or month) : customer do not need anymore to raise ticket with Microsoft Support or ask for help about this topic from MST team. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
 
This is being requested by a POCaaS customer.#POC 

 

CDO reviewed 

",Proof of Concept (PoC),CDO - Configure
"
 
To realy see the value of IRM, we need to have data within the POCaaS tenant. Some alerts, cases etc. so that the customer can experience how it is going to look. We hardly have one or two weeks for IRM and customer dont have time to generate data so that alerts can be generated within IRM. Similar to our demo tenant (shared IRM tenant), need to have some data to see the product in action. #POC 

 

CDO reviewed 

",Proof of Concept (PoC),CDO - Learn
"
Add a service health dashboard experience in FT Portal for migrations.Service health shows you your current health status and the history of any service advisories and incidents that have affected your tenant in the past 30 days. We have service health dashboard for M365 so thinking of an idea to enable it for Migrations too. It will be one stop shop for customers to find if there are issues/incidents with migrations. 

 

CDO reviewed 
",Migration,CDO - Prepare
"What idea are you suggesting?  Add for sorting a new criteria : Data consistency  (see more on attached image) 
How would you implement this?  Add a new filter in the Report 
What measurable impact would this idea have? (hours per week or month)  Customer satisfaction impact. Customer could easely sort the information directly on the page. 
 
CDO reviewed ",Migration,CDO - Prepare
"
As highlighted in the June 2023 FastTrack All Hands, Microsoft customers sometinmes have unclear intent to deploy MDE due to a competiting incumbent solution such as Crowdstrike. As the FastTrack team highlighted in the call, they were able to overcome objections to non-MDE workloads (MDA) by running a pilot that demonstrated how MDE could run in passive mode alongside Crowdstrike while delivering additional value realisation from the E5 stack. There are several such examples (Passive: MDE EndPoint DLP --&gt; IRM, or MDE --&gt; MDA / MDCA), but none of these are easily demonstrated or discussed due to the lack of any centralised documentation. Perhaps we could come up with a common set of guidelines for what is possible to do with MDE in Passive mode to further the compete plays in other E5 Security and Compliance areas. Over time, this gives us much greater leverage against difficult competitors. 

 

CDO reviewed 
",Documentation,CDO - Configure
"
If known, list 'P1' or 'P2' service: affect all versions as ACM materials apply for all


Which feature, specifically, from the product is this tied to? ACM - Adoption and Change Management


What is the problem/idea? - Links in customer facing Deck are incorrect - linking to a an emty space.



ACM Deck, Slide 8 - ""Homepage"" &amp; ""Adoption Workbook"" &amp; ""Champions Networks""
 



What are they trying to do/achieve and/or what problem is encountered? - Customer accessing our adoption materials trough our deck


Why is solving the problem important? - No access to adoption materials end up in less effective user adoption and customer trust (receiving outdated decks)


What impact is the issue having? - Customer experice of FastTrack delivery


What use case does this address? Adoption


Proposed solution (optional): update Links



CDO reviewed

",Documentation,CDO - Learn
"
I have observed that the Deployment Wizards for Teams Setup Guide and Phone System Deployment provide distinct sets of networking guidance information. In my view, it would be advantageous for consistency purposes if the networking guidance were standardized across all deployment wizards, including their titles. Moreover, I appreciate the inclusion of the Quality and Reliability Checklist information (see attached screenshot) and think it should be included. Additionally, it may be beneficial to incorporate or add the discussion on Call Quality Dashboard (CQD) and Building Tenant File when addressing networking matters with customers. This would serve as a seamless transition point in the conversation.



CDO reviewed
",Communications,CDO - Learn
"
It seems a deck is being linked from the <a href=""https://fasttrack365-kb.powerappsportals.com/?id=KA-01044"">task#203 as below. 


""The EE FastTrack Engineer will need to lead a Deployment Technical Planning meeting with the customer as the first step of this task.The EE FastTrack Engineer shall coordinate with the FTA or FM to schedule a deployment technical planning meeting with the customer’s technical roles reviewed in the kickoff. FastTrack should ensure to include all Microsoft folks in the meeting as applicable including account team, CSU (e.g. CSM), Modern Work Specialists, etc. 


The EE FE shall conduct the deployment technical planning meeting with the customer using the<a href=""https://fasttrack365-kb.powerappsportals.com/?id=KB-02136"">Viva Deployment Technical Planning deck. The agenda for this meeting is:..."" 


However, the link takes me to a different page. 


Please correct the URL link so that we can delivery the workshop. 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
"
What idea are you suggesting? 
 
For the UK dedicated MOP to have a sign or a different layout (to differentiate it from the standard MOP). Now, the only difference is the link (url:<a href=""https://uk.fasttrack.microsoft.com/mop/home"">uk.fasttrack.microsoft.com/mop/home) - see attached printscreen 
 
 


How would you implement this? 
 
Possible options: 


- collor diffeent the ribons 


- change the description to include the UK reference 


- change entirele the layout to reflect that it is a different portal 


What measurable impact would this idea have? (hours per week or month) 
 
 
 
Minimal. However, it would have impact on the security side (we will reduce the risk to acces the wrong customer information by accesing the wrong MOP) 

 

CDO reviewed 
",Migration,CDO - Prepare
"
TheConfigure Direct Routingportion of thePlan and implement your Microsoft Teams Phone deploymentADG contains the following two tasks (among other tasks): 


Dial Plans 


Translate Numbers 


The description of these tasks in the table as well as the additional details on their respective flyouts could be modified to better explain the differences between these two tasks and in which situation(s) you might use one and or the other. 

 

CDO reviewed 
",Communications,CDO - Learn
"
The Plan stage of project progress is not relevant to the vast majority of customer engagements. A remediation checklist was helpful in the early days of the OBC when customers were relatively immature, but these days customers are coming to us with specific questions for specific workloads. This means we are going directly to Tech Onboarding, and the Plan step is just unnecessary administrative and DQ overhead. 


I suggest removing Plan altogether, or at least make the tasks optional (not required) so we can bypass it on the way to Tech Onboarding. 


The Playbook should also include, perhaps in Kickoff, a prompt to check for relevant IPEs/ADGs/wizards. In fact, it would be useful if the tool could suggest IPEs that might apply to the workloads in scope. This would be far more practical and useful than a remediation checklist task. 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
"
For the automation aspects in the wizards as we increase automation - we should also have a roll-back mechanism in-built where possible. 

 

CDO reviewed 
",Communications,CDO - Configure
"
Currently, when I view the ""Advanced deployment guides &amp; assistance"" page in Japanese and select All guides, only ""Communication and conferencing with Microsoft Teams (5)"" is displayed, and the other menus are no longer displayed. Since it will not be possible to guide customers, please correct it so that the menu is displayed as soon as possible. 

 

CDO reviewed 
",Communications,CDO - Learn
"<style data-make-styles-bucket=""d"" type=""text/css"">
	</style>
	<style data-make-styles-bucket=""t"" type=""text/css"">
	</style>
I would like to recommend a change to unify all security Defender BVDs into one BVD, instead of having separate BVDs for MDE MDO MDI MDA. The new BVD would focus on Security (XDR) and educate the customer about it in 3 to 4 slides. Then, the presenters would pause on a slide that shows all the XDR workloads and let the customer choose the first workload they are interested in. 


<span style=""background-color:rgba(255, 255, 255, 0.6)"">This would help maintain the customer engagement with FTC even after we complete the enablement for one workload. SMEs would always go back to the same slides with the goal of enabling security workloads rather than just individual workloads. 


It will also educate customers about Microsoft approach when it comes to security.  


Happy to jump into a call to explain more if needed. 

 

CDO reviewed 
",Documentation,CDO - Learn
"
I would like to propose an improvement that would enhance the customer experience of running the MDE wizard (ADG). 


Since most of our customers are already using Intune, it would be helpful if we could update the wizard to include clear instructions and links to enable the connectors from both Intune and MDE sides. This way, the customer can easily navigate to the relevant page where they need to enable the connector and once done they will return to the wizard and carry on the rest of the wizard steps. By the end of the wizard, all Intune enrolled devices will be in the onboarding phase. 


I think this will save time and accelerate the customer adoption of the service. It will also help the SME save time can focus more on the educational/QA and other onboarding activities. 


I will be happy to jump on a call to explain more if needed. 

 

CDO reviewed 
",Communications,CDO - Configure
"
What idea are you suggesting? 


Update request to inlude a reference/link to an Advance Deployment Guide KB (https://m365-specialty-partner.powerappsportals.com/knowledgebase/article/KB-01507/en-us) 


How would you implement this? 


Update the Partner playbookhttps://fasttrack365-kb.powerappsportals.com/?id=KB-02604 with the insertion of the Advanced Deployment Guide KB link (as above) with accompanying introduction text to the ADGs 


What measurable impact would this idea have? (hours per week or month) 


Not sure it would be measurable, but would help re-empahise ADGs to Partners via the Partner Playbook section. 


PGI ADO ID:https://dev.azure.com/O365fasttrack/PGI/_workitems/edit/436521 


PGI ADO ID:https://dev.azure.com/O365fasttrack/PGI/_workitems/edit/416250 


 


Thanks 


Elsa, Celia and Aubrey 


RCDE Team. 

 

CDO reviewed 
",Playbook & Process,CDO - Learn
"
What idea are you suggesting? Improve the LC guidance by adding next information 


How would you implement this? 
 
 
 
 


 


  
	Batch Deletion Logic in place: 
	
	  
		ME logic will only delete a batch if all users are marked as complete in that batch or any other batches in ME
		 
		The deletion will take place only if a user is completed successfully, not if the user was failed
		 
		Batches are deleted after 20 days
		  
			Batches will not be deleted if updated more than 60 days ago (intended to reduce the threshold for the batches that existed before this logic was in place)
			 
			This is a configurable property which can be changed
			 
			 
			
		 
		
		 
		 
		
	 
	
	 
	Telemetry in place:
	  
		There is a property in our batch table which shows whether the batch has been deleted in MRS
		  
			If batch is deleted in ME or is manually deleted between the 20-60 day period, it will appear in this table
			 
			 
			
		 
		
		 
		Deletion attempts and logic are stored for 90 days
		 
		MRS response is saved for 30 days
		 
		 
		
	 
	
	 
	
 
CDO reviewed

  
	
 


 


What measurable impact would this idea have? (hours per week or month) N/A 
",Migration,CDO - Prepare
"
What idea are you suggesting? The advanced deployment guides need to be available in GCC-H and DOD tenants. 


How would you implement this? Add the feature to the gov tenant types 


What measurable impact would this idea have? (hours per week or month) Enable customer self service and free up FE resources. 

 

CDO reviewed 
",Communications,CDO - Learn
"
Cx found the Exchange Online BVD interesting, however the data/chart/analytics are outdated. They would like more fresh data in this presentation.


FastTrack Knowledge Base (powerappsportals.com)


https://fasttrack365-kb.powerappsportals.com/?id=KB-02456


If known, list 'P1' or 'P2' service:


Which feature, specifically, from the product is this tied to? (ie: AADP P2 - Feature: Access Review)


Issue relies on the story of the Cloud: Migration From Exchange Onpremise to Exchange Online


Is this a legal requirement?


Yes, Customer entity is a financial institution based in Switzerland


Is this an industry regulation?


Finance


Is there a compete offering?


Why did you select the priority level, what is the problem, impact, and other information you need to pass to the team?


It's a cloud strategy and regulation question. However please note that I am doing this Feedback to improve Cx facing documentation and help Cx take their decision.


What is the DCR #?


What is the UAT#?


What is the number of users blocker?


Note sure, it could be 500-1000 seats entity, part of a 120000 seats organization


Is engineering committed? (Y/N) Information:


No


Priority 0 = Consumption is completely blocked (for all or a subset of users.) No consumption will happen until resolved.


No migration = No consumption



CDO reviewed

",Documentation,CDO - Learn
"

Problem: 
 
 

Service description is not aligned with Learning center articles &amp; decks and Migration workshop decks (FTOP) 
 
 
 
See attached image for more details on the differences between SD and LC article. Similar discrepancies can be found by checking also FTOP documents. 
 
 
 
 
 
 
 
What should be done: 
 
 

We should validate that ALL materials are alligned and have the same information 

 

CDO reviewed 



 
",Documentation,CDO - Learn
"
What idea are you suggesting? The tasks 4008 from FTOP must be udpated 


Next points should be adressed: 


  
	FTOP (task 4008): 
	
	  
		Update the taks name and remove PowerBI from the name
		 
		Update the taks description and remove PowerBI and replace it with new reporting tool from FTC Portal
		 
		Replace the deck that contains guidance about PowerBI with a new deck that guides the customer to use new reporting tool from FTC Portal
		 
		 
		 
		
		
	 
	
	 
	LC Page: 
	  
		Update the LC page to reflect the new guidance for the reporting tool from FTC Portal
		 
		Replace the deck that contains guidance about PowerBI with a new deck that guides the customer to use new reporting tool from FTC Portal
		 
		 
		 
		
		
	 
	
	 
	 
	 
	
	
 


How would you implement this? 


Please raise a CR (s) for this 


What measurable impact would this idea have? (hours per week or month): inmprove customer satisfaction by havving up-2-date documents 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What idea are you suggesting? The Migration Workshop decks (both in LC and FTOP) have still the reference about PowerBI Reporting tool. We should remove the PowerBI reference from the deck and guide the customer to use the reporting tool from withing FTC Portal. 


How would you implement this? Remove the information from the deck and add the new iinformation. 


What measurable impact would this idea have? (hours per week or month). It will not reduce the effort. It will correct the guidance 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What idea are you suggesting?Link in the page to be fixed 
 
How would you implement this? Fix the link 


What measurable impact would this idea have? (hours per week or month) - can not estimate. Basically, is blocking the activity we do (as migration SME). We do not have acces to the file 

 

CDO reviewed 
",Playbook & Process,CDO - Prepare
"
For the following resource:<a href=""https://nam06.safelinks.protection.outlook.com/?url=https%3A%2F%2Fm365-specialty-partner.powerappsportals.com%2Fknowledgebase%2Farticle%2FKA-01109%2Fen-us&amp;data=05%7C01%7Camandalima%40microsoft.com%7C8989a8fbcb3c4851444f08db5b9a2dd5%7C72f988bf86f141af91ab2d7cd011db47%7C1%7C0%7C638204490012559700%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=CMY3ZoFd1RPdKQ1oMag2TRpVuEAx5L%2FNDIZcXX%2By10M%3D&amp;reserved=0"" target=""_blank"">KA-01109 · M365 Specialty Partner (powerappsportals.com) 


These 3 linls are not working (screenshot attached): 


https://partner-docs.microsoft.com/r/lh7ymoH01Ji/en-us 


https://partner-docs.microsoft.com/r/2hwVmEVoIHk/en-us 


https://ftdocs-bcm.azureedge.net/public/frp-ask-the-expert-v1.pptx 
CDO reviewed

 
",Playbook & Process,"CDO - Prepare,FPM"
"
Problem statement: Often the customers operate in the FT portal / MigHub with an adminstrator account that might not have a mailbox (or it might be unmonitored), and that can lead to missed emails. Here's an example based in a real situation: 


 
	User in the FT portal starts a chat with MST.
	 
	MST creates a ticket.
	 
	MST wants to arrange a call with the customer for troubleshooting, and asks via email the user who created the ticket.
	 
	The email assigned to the user in the FT portal is unmonitored. Subsequent emails are missed and MST closes the ticket.
	 
	The FT user sees that the ticket is closed, unexpectedly for them.
	 
	 
	



Idea:if available, communicate with the FT user using the recipients specified in the project card because: 


 
	the customer is much more likely to specify a valid email address there because otherwise they won't receive event notifications.
	 
	typically there are a few recipients specified, so it's more resilient for OOF/vacation situations.
	 
	 
	



If there are no recipients in the project card the use the email address for the FT user as a backup. 


As an alternate idea/solution, ask for the user email address when a ticket is submitted. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
What is the problem/idea? Why is solving the problem important? 


Customers can submit migration events before prerequisites are complete. These migration events will probably fail, leading to customer frustration. 


What are they trying to do/achieve and/or what problem is encountered? 


Customer is doing a GDrive to ODFB migration. One of the prerequisite steps is to have a call with MST to create/verify the Mover connectors and app authorizations in AADP. Until this call is done and all is found to be OK the MST will not consider the migration project active/ready to accept migrations, and any event submitted by the customer will fail because MST won't accept/process it. 


What impact is the issue having?  


Delayed migration due to avoidable test migration failures, customer disatisfaction. 


Proposed solution: 


In MigHub, disable UI elements related to event creation until the project is marked as active/ready by MST. Optionally, add a final item such as ""I confirm that I have completed all prerequisites and I'm ready to submit migration events"". 


Next to the disabled element add a link to the project prerequisites in the project card/learning center. 

 

CDO reviewed 
",Migration,CDO - Prepare
"
Since Microsoft 365 Copilot has been announced and there is a paid private preview coming available for customers, many FTAs are asking for additional readiness and content on Microsoft 365 Copilot. The STU and their field counterparts are constantly asking for FastTrack's involvement in Microsoft 365 Copilot. I recommend we have a few different content pieces created for the FTAs. 
 
 
 
1. Have a couple of bullets that FTAs can communicate to their field counterparts on where FastTrack is in the Microsoft 365 Copilot journey. We should also have a customer-facing talking point to address any inquiries from customers. 


2. Provide the elevator pitch and training that the field teams have received to the FTAs. This will ensure we are all on the same page on how M365 Copilot is being communicated to customers and how the field is pitching the preview. 


3. Learning path for FTAs on Copilot. I am sure this is in the works, but it would be great to give the FTAs a timeline on when they can expect a learning path on Copilot. (Totally fine if the answer is H2.) 

 

CDO reviewed 
",Learn,CDO - Learn
"
In the Intune Setup Guide, there is not guidance for enrolling existing devices into Autopilot - it does not specify that Autopilot features service existing devices - my customer had confusion on this and was not aware they should be enrolling existing devices through Autopilot or why. 

 

CDO reviewed 
",Communications,CDO - Prepare
"
 
What idea are you suggesting? 


Suggesting that we revamp the Remediation Checklist and implement the RCL within the Admin Center as an initial point for customers beginning their journey with IPE. It'll gather the information needed as usual to assess the customers current environment/needs/etc. 


Once those are all captured we can then use/store this data within the Microsoft 365 Admin Center. Using the data within the ADG's/IPE wizards as an API or in a way that passes the RCL info to the ADGs/IPE wizards. That way we would be providing customers an automated/curated experience that is tailored to their wants or needs. 


For example customers would go through the RCL in the admin center, it then provides them options of what to deploy first from the ADG list. They select Intune. The Intune ADG will then already have all the information it needs to provide them with the steps they need to complete deployment. 


This will also provide Microsoft Support/FastTrack etc. with valuble information needed during troubleshooting or during engagements to have an idea of what the customers environment currently entails. As opposed to having to go through the RCL which may come off as inundated material that doesn't really fit anymore with the new IPE process. 


What measurable impact would this idea have? (hours per week or month): 


I believe that this change would save multiple weeks/months of work and also really help align our customers to adopting automation. It would help them see the benefit in moving to automation and give them more of a reason to pursue using the IPE wizards. 

 

CDO reviewed 

",Communications,CDO - Prepare
"
Background: The field teamin Thailand has recently reached to FastTrack team to support their customer to deploy and setup all M365 workloads in a non-production tenant. We have responded to the field team that FastTrack support customers to deploy M365 workloads in production tenant only. Field team highlighted they are unable to find any clause in our <a href=""https://nam06.safelinks.protection.outlook.com/?url=https%3A%2F%2Flearn.microsoft.com%2Fen-us%2Fmicrosoft-365%2Ffasttrack%2Fintroduction&amp;data=05%7C01%7CLee.Stephanie%40microsoft.com%7C83cdc3cbc24940cf890e08db55b12efd%7C72f988bf86f141af91ab2d7cd011db47%7C1%7C0%7C638197991815288807%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=cBy8pixl9LmXFdryg2OcbAz%2B9DTlwI0XsiDPgQqX8h4%3D&amp;reserved=0"" style=""color: rgba(5, 99, 193, 1)"">FastTrack Center Benefit for Microsoft 365​ - FastTrack – Microsoft 365 | Microsoft Learnthat states “FastTrack do not support non-production tenant deployment” and they highlighted this is causing confusion to our customers since this is not clearly defined in the M365 FastTrack Benefits site and the customers are quite unahappy with this. 
 
 
 
Ask: To ensure FastTrack team stay focus to support our customers to deploy M365 workloads in production tenant so that our customers can maximize the ROI on their M365/O365 investment, it is important to include this clause in our “FastTrack Center Benefit for Microsoft 365” site to avoid confusion to the field team and our customers in the future. Understand you are the contributor to the content in “FastTrack Center Benefit for Microsoft 365” site, seeking your guidance on what action is needed from our end to get the content in “FastTrack Center Benefit for Microsoft 365” site update to reflect this. 

 

CDO reviewed 
",Documentation,CDO - Learn
